experiment_id,status,track,branch,recipe,config_overrides,representation_pretrain_epochs,artifact_dir,mean_target_baseline_rmse,val_rmse,val_rmse_improvement_vs_mean_baseline,val_rmse_improvement_pct_vs_mean_baseline,ttnc_proxy_retrieval_hit_rate_at_5,cluster_silhouette,target_probe_mae_dollars,target_probe_wape_percent,target_probe_rmse_dollars,notes
H3_sigreg_0p05,rejected,hparam,current,sigreg_dense,sigreg_weight_lvl2=0.05,20,experiments/runs/H3_sigreg_0p05,3674.9361,3161.4133,513.5227,13.9736,0.7805,0.2318,2854.03,49.78,4286.04,"Weaker SIGReg pressure sharply hurt val_rmse and did not recover retrieval enough to justify the regression"
H3_sigreg_0p10,planned,hparam,current,sigreg_dense,sigreg_weight_lvl2=0.1,20,experiments/runs/H3_sigreg_0p10,,,,,,,,,,"SIGReg control"
H3_sigreg_0p20,rejected,hparam,current,sigreg_dense,sigreg_weight_lvl2=0.2,20,experiments/runs/H3_sigreg_0p20,3674.9361,3118.2837,556.6523,15.1473,0.7885,0.2316,2896.07,50.51,4360.47,"Stronger SIGReg nudged retrieval slightly on the slice but lost silhouette and dollar metrics relative to the 0.25 dense control"
A1_intermediate_sequence_supervision,mixed,architecture,codex/arch-intermediate-seq-supervision,sigreg_dense + intermediate_sequence_supervision_weight=0.1,20,C:/Users/tmcke/code/JEPA-For-Claims-a1/experiments/runs/A1_intermediate_sequence_supervision,3674.9361,3117.7470,557.1891,15.1619,0.6721,0.4467,2052.42,44.29,3145.45,"Intermediate sequence supervision improved full-eval retrieval, log-space probe RMSE, MAE, and WAPE over the dense control, but gave up some silhouette and dollar RMSE. Keep as a live architecture candidate rather than a default."
A1_intermediate_sequence_supervision_w005,rejected,architecture,codex/arch-intermediate-seq-supervision,sigreg_dense + intermediate_sequence_supervision_weight=0.05,20,C:/Users/tmcke/code/JEPA-For-Claims-a1/experiments/runs/A1_intermediate_sequence_supervision_w005,3674.9361,3111.2150,563.7211,15.3396,0.6722,0.4402,2067.10,44.61,3155.78,"Lowering the intermediate loss preserved the retrieval lift, but full-eval silhouette and all dollar-side probe metrics regressed versus both the 0.1 A1 run and the dense control."
A2_bottleneck_dense_decoder,mixed,architecture,codex/arch-bottleneck-dense-decoder,sigreg_dense + dense decoder bottleneck (dim=128),20,experiments/runs/A2_bottleneck_dense_decoder,3674.9361,3102.2430,572.6931,15.5832,0.6415,0.4402,2066.78,44.60,3142.76,"Implemented branch experiment. 128-dim bottleneck improved training val_rmse and looked strong on the 2k slice, but full eval was slightly worse than the k=2 dense control overall. A tighter 64-dim smoke was weaker than 128."
A3_l2_predictor_depth,mixed,architecture,codex/arch-l2-predictor-depth,sigreg_dense + use_enhanced_level2_predictor=true,20,C:/Users/tmcke/code/JEPA-For-Claims-a3/experiments/runs/A3_l2_predictor_depth,3674.9361,3110.2460,564.6901,15.3660,0.6649,0.4443,2053.74,44.32,3148.80,"Enhanced Level-2 decoder using pooled context plus last sequence state and slot queries improved retrieval, MAE, and WAPE over the dense control, but regressed silhouette, log-space probe RMSE, and dollar RMSE. Keep as a live branch candidate, but it does not beat A1 or the dense control cleanly."
A1A3_combo_smoke,rejected,architecture,codex/arch-a1-a3-combo,sigreg_dense + intermediate_sequence_supervision_weight=0.1 + use_enhanced_level2_predictor=true,5,C:/Users/tmcke/code/JEPA-For-Claims-a1a3/experiments/runs/A1A3_combo_smoke,3674.9361,3116.2790,558.6571,15.2018,0.7845,0.2341,2965.70,51.72,4486.74,"Exploratory combo smoke of the A1 and A3 ideas. The combined branch was dominated by the parent branches on the 2k slice, so it does not warrant a full 20-epoch run."
A4_level1_ssl_refinement,rejected,architecture,codex/arch-level1-ssl,sigreg_dense_hybrid + use_level1=true + use_asymmetric_level1_predictor=true + level1_ssl_weight=0.25,5,C:/Users/tmcke/code/JEPA-For-Claims-a4/experiments/runs/A4_level1_ssl_refinement_smoke,3674.9361,3140.0060,534.9301,14.5562,0.7865,0.2467,2837.00,49.48,4267.65,"Level-1 asymmetric within-claim supervision kept slice retrieval competitive, but the 5-epoch smoke badly regressed dollar-side probes and val_rmse versus A5, so it does not warrant a full 20-epoch run."
A5_target_encoder_hybrid,completed,architecture,codex/arch-target-encoder-hybrid,sigreg_dense + target_encoder_mode=hybrid,20,C:/Users/tmcke/code/JEPA-For-Claims-a5/experiments/runs/A5_target_encoder_hybrid,3674.9361,3115.0160,559.9201,15.2362,0.6740,0.4445,2051.13,44.26,3132.01,"Per-level target encoder policy with shared Level 1 and EMA Level 2 targets produced the strongest full-data downstream result so far: best retrieval, log-space probe RMSE, MAE, WAPE, and dollar RMSE, with only a modest silhouette tradeoff versus the dense shared-target control."
A1A5_combo_smoke,rejected,architecture,codex/arch-a1-a5-combo,sigreg_dense + intermediate_sequence_supervision_weight=0.1 + target_encoder_mode=hybrid,5,C:/Users/tmcke/code/JEPA-For-Claims-a1a5/experiments/runs/A1A5_combo_smoke,3674.9361,3135.7880,539.1481,14.6710,0.7910,0.2472,2932.28,51.14,4356.23,"Exploratory combo smoke of A1 and A5. The slice picked up retrieval, silhouette, and log-space probe RMSE relative to A5 alone, but lost badly on MAE, WAPE, and training val_rmse, so it does not warrant a full run."
H7_hybrid_control_smoke,completed,hparam,current,sigreg_dense_hybrid,,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_control_smoke,3674.9361,3106.0460,568.8901,15.4803,0.7755,0.2439,2853.21,49.76,4299.78,"5-epoch control smoke for the current A5 winner. Use this as the same-budget reference point for adaptive target-dynamics follow-ups."
H7_hybrid_ema_decay_0p995_smoke,rejected,hparam,current,sigreg_dense_hybrid,ema_decay=0.995,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_ema_decay_0p995_smoke,3674.9361,3111.6590,563.2771,15.3275,0.7835,0.2361,2912.87,50.80,4436.64,"Faster EMA targets improved slice retrieval slightly, but clearly regressed MAE, WAPE, dollar RMSE, silhouette, and training val_rmse versus the 5-epoch hybrid control. Do not promote."
H7_hybrid_ema_decay_0p9995_smoke,completed,hparam,current,sigreg_dense_hybrid,ema_decay=0.9995,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_ema_decay_0p9995_smoke,3674.9361,3105.0660,569.8701,15.5069,0.7800,0.2475,2787.09,48.61,4239.47,"Slightly slower EMA targets beat the 5-epoch hybrid control on val_rmse, retrieval, silhouette, log-space probe RMSE, MAE, WAPE, and dollar RMSE. Promote to a full 20-epoch run."
H7_hybrid_ema_decay_0p9995,rejected,hparam,current,sigreg_dense_hybrid,ema_decay=0.9995,20,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_ema_decay_0p9995,3674.9361,3121.7760,553.1601,15.0522,0.7815,0.2309,3054.32,53.27,4598.02,"The slower-EMA idea looked strong at 5 epochs but did not survive a full 20-epoch run. It regressed training val_rmse and downstream slice dollar metrics versus A5, so it is not a better default."
H6_hybrid_ema_decay_0p9995_earlystop5_full_eval,rejected,hparam,current,sigreg_dense_hybrid,ema_decay=0.9995;checkpoint=H7_hybrid_ema_decay_0p9995_smoke,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_ema_decay_0p9995_smoke,3674.9361,3105.0660,569.8701,15.5069,0.6455,0.4495,2059.22,44.44,3165.20,"The 5-epoch slower-EMA checkpoint generalized better than the 20-epoch version, but it still lost to the A5 hybrid default on retrieval, MAE, WAPE, and dollar RMSE. Keep the full-data A5 result as the leader."
H5_hybrid_mean_only_patient_smoke,completed,hparam,current,sigreg_dense_hybrid,use_context_pooled_patient_representation=false,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H5_hybrid_mean_only_patient_smoke,3674.9361,3129.8550,545.0811,14.8324,0.7750,0.2461,2762.15,48.17,4204.33,"Mean-only patient state kept slice retrieval flat while improving slice MAE, WAPE, RMSE, log-space probe RMSE, and silhouette versus the 5-epoch hybrid control, but it regressed training val_rmse. Full-data eval needed before promotion."
H5_hybrid_mean_only_patient_full_eval,mixed,hparam,current,sigreg_dense_hybrid,use_context_pooled_patient_representation=false;checkpoint=H5_hybrid_mean_only_patient_smoke,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H5_hybrid_mean_only_patient_smoke,3674.9361,3129.8550,545.0811,14.8324,0.6635,0.4725,2079.04,44.87,3164.67,"Mean-only patient state improved full-data silhouette materially and still beat the shared-target dense control on retrieval, but it lost to A5 on retrieval, MAE, WAPE, and dollar RMSE. Keep as a tradeoff candidate rather than a new default."
H4_hybrid_embedding_dim64_smoke,completed,hparam,current,sigreg_dense_hybrid,embedding_dim=64,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H4_hybrid_embedding_dim64_smoke,3674.9361,3191.2060,483.7301,13.1630,0.7835,0.2455,2646.71,46.16,4134.59,"Smaller pooled latent outperformed the mean-only ablation on the slice and strongly improved slice downstream probes versus the 5-epoch A5 control, despite a much weaker training val_rmse. Full-data eval needed to see whether the representation gains are real."
H4_hybrid_embedding_dim64_full_eval,rejected,hparam,current,sigreg_dense_hybrid,embedding_dim=64;checkpoint=H4_hybrid_embedding_dim64_smoke,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H4_hybrid_embedding_dim64_smoke,3674.9361,3191.2060,483.7301,13.1630,0.6340,0.4315,2093.00,45.17,3211.34,"The smaller pooled latent looked strong on the 2k slice, but full-data eval regressed retrieval, silhouette, MAE, WAPE, and dollar RMSE versus A5. Treat the slice gain as a mirage, not a new default candidate."
H6_hybrid_schedule_5,mixed,hparam,current,sigreg_dense_hybrid,checkpoint=H7_hybrid_control_smoke,5,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H7_hybrid_control_smoke,3674.9361,3106.0460,568.8901,15.4803,0.6687,0.4464,2058.26,44.42,3147.25,"5-epoch full-data evaluation for the current hybrid leader. Competitive early, but still behind the 20-epoch A5 run on retrieval and dollar-space metrics."
H6_hybrid_schedule_10,completed,hparam,current,sigreg_dense_hybrid,,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H6_hybrid_schedule_10,3674.9361,3117.0940,557.8421,15.1797,0.7830,0.2327,2897.24,50.53,4354.95,"10-epoch checkpoint for the current hybrid leader. Slice metrics were weaker than the 5-epoch full-data anchor, so full-data eval is required before promotion."
H6_hybrid_schedule_10_full_eval,promoted,hparam,current,sigreg_dense_hybrid,checkpoint=H6_hybrid_schedule_10,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H6_hybrid_schedule_10,3674.9361,3117.0940,557.8421,15.1797,0.6731,0.4426,2049.34,44.23,3128.02,"Promoted as the current cost-first default. The follow-up rerank in experiments/cost_rerank_20260323/summary.md kept the 10-epoch hybrid ahead on overall dollar MAE, WAPE, and RMSE, with only a narrow q4-high-cost RMSE loss to the plain dense control."
H6_hybrid_schedule_15,completed,hparam,current,sigreg_dense_hybrid,,15,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H6_hybrid_schedule_15,3674.9361,3127.4680,547.4681,14.8973,0.7875,0.2349,2814.61,49.09,4279.92,"15-epoch checkpoint for the current hybrid leader. Slice metrics were stronger than 10 epochs on retrieval and probe losses, but training val_rmse was weaker, so full-data eval is required."
H6_hybrid_schedule_15_full_eval,rejected,hparam,current,sigreg_dense_hybrid,checkpoint=H6_hybrid_schedule_15,15,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H6_hybrid_schedule_15,3674.9361,3127.4680,547.4681,14.8973,0.6418,0.4420,2051.21,44.27,3139.24,"15 epochs did not hold up on the full dataset. Dollar metrics were near the 20-epoch run, but retrieval dropped sharply, so it is neither the best dollar checkpoint nor the best broad-representation checkpoint."
H8_hybrid_dollar_seed42,completed,hparam,current,sigreg_dense_hybrid_dollar,seed=42,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_dollar_seed42,3674.9361,3140.1550,534.7811,14.5521,0.6435,0.4443,2059.15,44.44,3136.79,"First seeded anchor for the dollar-optimized hybrid preset. Seed 42 came in materially weaker than the earlier unseeded 10-epoch result, confirming that schedule conclusions need seed averaging."
H8_hybrid_repr_seed42,completed,hparam,current,sigreg_dense_hybrid_repr,seed=42,20,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_repr_seed42,3674.9361,3131.6690,543.2671,14.7837,0.6425,0.4428,2059.88,44.45,3138.48,"First seeded anchor for the broad-representation hybrid preset. Under seed 42 it landed extremely close to the dollar preset, with the dollar preset holding a slight edge on all tracked metrics."
H8_hybrid_dollar_seed123,completed,hparam,current,sigreg_dense_hybrid_dollar,seed=123,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_dollar_seed123,3674.9361,3120.0110,554.9251,15.1000,0.6447,0.4464,2088.89,44.90,3188.18,"Second seeded anchor for the dollar-optimized hybrid preset. Seed 123 was materially worse than seed 42 on dollar metrics, showing substantial variance even within the 10-epoch preset."
H8_hybrid_repr_seed123,completed,hparam,current,sigreg_dense_hybrid_repr,seed=123,20,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_repr_seed123,3674.9361,3128.0610,546.8751,14.8801,0.6739,0.4459,2088.05,44.88,3186.52,"Second seeded anchor for the broad-representation hybrid preset. Under seed 123 it clearly beat the paired dollar preset on retrieval and slightly beat it on MAE, WAPE, and RMSE, showing that the preset ranking is still unstable across seeds."
H8_hybrid_dollar_seed202,completed,hparam,current,sigreg_dense_hybrid_dollar,seed=202,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_dollar_seed202,3674.9361,3076.6940,598.2421,16.2789,0.6437,0.4473,2063.68,44.16,3157.65,"Third seeded anchor for the dollar-optimized hybrid preset. Seed 202 produced the strongest training val_rmse of the sweep so far, but downstream retrieval stayed weak and log-space probe RMSE regressed."
H8_hybrid_repr_seed202,completed,hparam,current,sigreg_dense_hybrid_repr,seed=202,20,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/H8_hybrid_repr_seed202,3674.9361,3077.5460,597.3901,16.2557,0.6430,0.4463,2062.76,44.14,3156.50,"Third seeded anchor for the broad-representation hybrid preset. Under seed 202 it nearly matched the paired dollar preset on every downstream metric while slightly improving MAE, WAPE, RMSE, and training val_rmse."
H6_hybrid_schedule_20,completed,hparam,current,sigreg_dense_hybrid,reference=A5_target_encoder_hybrid,20,C:/Users/tmcke/code/JEPA-For-Claims-a5/experiments/runs/A5_target_encoder_hybrid,3674.9361,3115.0160,559.9201,15.2362,0.6740,0.4445,2051.13,44.26,3132.01,"20-epoch reference for the current hybrid leader, taken from the winning A5 branch run."
A8_bifurcated_state_seed42,mixed,arch,codex/arch-patient-state-bifurcation,sigreg_dense_hybrid_dollar_bifurcated_state,,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/A8_bifurcated_state_seed42,3674.9361,3131.0400,543.8961,14.8002,,,2055.89,44.37,3130.69,"Late bifurcation of the Level 2 patient state improved built-in val_rmse and broadened the exposed post-SAE patient representation, but the cost gain did not survive a later multi-seed confirmation cleanly."
A8p1_bifurcated_state_residual_seed42,rejected,arch,codex/arch-patient-state-bifurcation-residual,sigreg_dense_hybrid_dollar_bifurcated_state_residual,,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/A8p1_bifurcated_state_residual_seed42,3674.9361,3169.8460,505.0901,13.7442,,,2105.41,45.44,3206.72,"Adding a strong mean-pool residual into the exposed patient path was pathologically bad: pre-SAE and post-SAE participation both collapsed to about 1.1 and cost probes regressed sharply."
A8p2_bifurcated_state_bottleneck192_seed42,mixed,arch,codex/arch-predictive-state-bottleneck,sigreg_dense_hybrid_dollar_bifurcated_state_bottleneck128,predictive_state_bottleneck_dim=192,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/A8p2_bifurcated_state_bottleneck192_seed42,3674.9361,3140.2040,534.7321,14.5508,,,2057.59,44.40,3141.53,"Best A8.2 bottleneck point on seed 42. It preserved the geometry win better than the 128 and 96 variants, but it still did not beat plain A8 or the baseline on cost probes."
A8p2_bifurcated_state_bottleneck128_seed42,rejected,arch,codex/arch-predictive-state-bottleneck,sigreg_dense_hybrid_dollar_bifurcated_state_bottleneck128,,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/A8p2_bifurcated_state_bottleneck128_seed42,3674.9361,3147.5020,527.4341,14.3522,,,2072.13,44.72,3142.81,"Predictive-state bottleneck at 128 improved patient-state geometry but gave up too much cost performance relative to both baseline and plain A8."
A8p2_bifurcated_state_bottleneck96_seed42,rejected,arch,codex/arch-predictive-state-bottleneck,sigreg_dense_hybrid_dollar_bifurcated_state_bottleneck128,predictive_state_bottleneck_dim=96,10,C:/Users/tmcke/code/JEPA-For-Claims/experiments/runs/A8p2_bifurcated_state_bottleneck96_seed42,3674.9361,3141.7060,533.2301,14.5099,,,2077.95,44.84,3168.61,"Pushing the predictive-state bottleneck down to 96 kept the geometry-first behavior but regressed both training val_rmse and cost probes, so it is not a useful follow-up to the 192 point."
